transaction_count,unique_actions,days_active,avg_daily_transactions,total_deposits,total_borrows,total_repays,total_redeems,avg_deposit_size,avg_borrow_size,avg_repay_size,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,liquidation_count,total_volume,repay_ratio,borrow_deposit_ratio,activity_diversity,userWallet,credit_score
10,4,83,0.12048192771084337,999090000.0,507497107.0,512437824.0,1211281152.0,499545000.0,169165702.33333334,512437824.0,2,3,1,4,0,0,2019024931.0,1.009735458452574,0.5079593500085078,0.8,0x0004849537dab5c33fc8c494d05313dfbe2d99f3,839.0
2,2,1,2.0,8.458931552812315e+17,500000000.0,0.0,0.0,8.458931552812315e+17,500000000.0,0.0,1,1,0,0,0,0,0.0,0.0,5.910911997316807e-10,0.4,0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,615.0
6,4,1,6.0,2.5e+19,1.6e+19,1.6e+19,2.499999e+19,1.25e+19,1.6e+19,1.6e+19,2,1,1,2,0,0,5.7e+19,1.0,0.64,0.8,0x0004d4112ee696dabc22b221bef156ecdaeb1a59,833.0
7,4,1,7.0,2.9350141e+17,592247574.0,592297200.0,1.0286267851818746e+20,2.9350141e+17,592247574.0,592297200.0,1,1,1,4,0,0,2.935014111845448e+17,1.0000837926606687,2.0178696041017315e-09,0.8,0x0005696d4be2359526c497fe4a4c0620b41f2426,834.5
1,1,1,1.0,1064772.0,0.0,0.0,0.0,1064772.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000660cad76200a2e326f53e033919905e6c50f5,607.5
1,1,1,1.0,1.3e+18,0.0,0.0,0.0,1.3e+18,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,607.5
2,1,10,0.2,3e+18,0.0,0.0,0.0,1.5e+18,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00080000158a9930aeb508823103b0a977161c47,609.0
2,1,8,0.25,4712595639187231.0,0.0,0.0,0.0,2356297819593615.5,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00099b1263c22ae2ce0a52624cef2a012e751970,609.0
1,1,1,1.0,4.1e+16,0.0,0.0,0.0,4.1e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0009ce45d5df78e632a0b4987079432dfba2253a,607.5
12,4,34,0.35294117647058826,276526904.0,160000000.0,160082274.0,276749587.0,69131726.0,80000000.0,80041137.0,4,2,2,4,0,0,596609178.0,1.0005142125,0.5786055450141662,0.8,0x000a27ba176083e4b50177378cbe7469a00dd557,842.0
43,4,26,1.6538461538461537,1.9281445079779706e+22,4.800000001338327e+19,13385125834.0,3.2711078877231535e+22,1.0711913933210947e+21,6.000000001672909e+18,2677025166.8,18,8,5,12,0,0,1.9329445079806474e+22,2.78856788130583e-10,0.0024894399675323337,0.8,0x000a3d1bef684a7c029267a26068de56b1c1b4dc,788.5000000278857
2,2,1,2.0,1e+17,1e+16,0.0,0.0,1e+17,1e+16,0.0,1,1,0,0,0,0,0.0,0.0,0.1,0.4,0x000ab43e658935ba39504a1424b01756c1e9644c,615.0
77,2,124,0.6209677419354839,2.2002139414592373e+20,0.0,0.0,1.708838020467324e+20,4.49023253359028e+18,0.0,0.0,49,0,0,28,0,0,0.0,0.0,0.0,0.4,0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,762.0
4,4,1,4.0,1.5e+22,2.356e+21,2.356e+21,1.5e+22,1.5e+22,2.356e+21,2.356e+21,1,1,1,1,0,0,1.9712e+22,1.0,0.15706666666666666,0.8,0x000c8e2871750f458bf1de8ab528dda09bc95db6,780.0
71,4,67,1.0597014925373134,7.132457629292884e+16,971000000.0,921516338.0,6.632811421677888e+16,3566228814646442.0,48550000.0,54206843.4117647,20,20,17,14,0,0,7.1324578185445176e+16,0.9490384531410917,1.3613820795964063e-08,0.8,0x000cdb5d7a2cda2947603f2993f05db57e3197dc,918.9038453141092
6,3,31,0.1935483870967742,2.00272e+20,40000000.0,40108150.0,0.0,5.0068e+19,40000000.0,40108150.0,4,1,1,0,0,0,2.0027200000008012e+20,1.0027037499999998,1.9972836941759207e-13,0.6,0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,827.0
1,1,1,1.0,1000000000000000.0,0.0,0.0,0.0,1000000000000000.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,607.5
1,1,1,1.0,1e+17,0.0,0.0,0.0,1e+17,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000dd5baf04ffe492508f5f45ac3d9374b193f57,607.5
8,4,81,0.09876543209876543,2.8256901933637283e+17,879000000.0,501890779.0,502090425.0,2.8256901933637283e+17,293000000.0,250945389.5,1,3,2,2,0,0,2.825690207172636e+17,0.5709792707622298,3.110744419414324e-09,0.8,0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,793.097927076223
8,2,21,0.38095238095238093,2.132617238514029e+18,0.0,0.0,1.060008174647556e+18,3.5543620641900486e+17,0.0,0.0,6,0,0,2,0,0,0.0,0.0,0.0,0.4,0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,674.0
10,4,27,0.37037037037037035,3.837084420447951e+20,216908607.0,217048025.0,267358748.0,7.674168840895903e+19,108454303.5,108524012.5,5,2,2,1,0,0,3.837084420452291e+20,1.0006427499670403,5.652953733415058e-13,0.8,0x000e840a3122ec28d0c29321db172375cb049762,839.0
22,4,2,11.0,1.8112655988098611e+19,35000000.0,35002269.0,1.1265599280089797e+17,2.2640819985123264e+18,5833333.333333333,8750567.25,8,6,4,4,0,0,1.8112655988168614e+19,1.0000648285714284,1.9323505080092977e-12,0.8,0x000e9bd1d42999446d60ff60f1fb3afb13604202,857.0
1,1,1,1.0,1.2e+18,0.0,0.0,0.0,1.2e+18,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x000eab293e332bd6e67018a9150e8807bfac3233,607.5
2,2,16,0.125,5.6e+19,0.0,0.0,5.609234352742851e+19,5.6e+19,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.4,0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,615.0
25,4,19,1.3157894736842106,9.28472901901214e+18,17600000000.0,17614321013.0,9.073875776321744e+20,1.326389859858877e+18,2933333333.3333335,5871440337.666667,7,6,3,9,0,0,9.28472905422646e+18,1.0008136939204546,1.8955857477327405e-09,0.8,0x000f4432a40560bbff1b581a8b7aded8dab80026,861.5
73,4,3,24.333333333333332,4.08263235352715e+25,3.431034019342126e+25,3.4316052331607702e+25,4.075746481819851e+25,1.570243212895058e+24,1.805807378601119e+24,2.6396963332005927e+24,26,19,13,15,0,0,1.0945271606030047e+26,1.000166484452041,0.8403974990248431,0.8,0x000f7f22bfc28d940d4b68e13213ab17cf107790,924.0
96,4,2,48.0,1.5296965019179294e+21,7.935281590685303e+20,7.935551142167785e+20,1.529758635045204e+21,4.7803015684935295e+19,2.6450938635617677e+19,4.667971260098697e+19,32,30,17,17,0,0,3.1167797752032385e+21,1.0000339687356272,0.5187487570727963,0.8,0x000f908720f9ce164d90f4fc89459fab4442907f,924.0
8,4,9,0.8888888888888888,5.93233163408689e+20,1.4e+20,1.4004910116409685e+20,3.5e+20,1.977443878028963e+20,1.4e+20,1.4004910116409685e+20,3,1,1,3,0,0,8.732822645727859e+20,1.0003507226006918,0.2359948981873616,0.8,0x000fbfec300959d0f2f327728a889c1f5de8e2df,836.0
4,4,1,4.0,4.5e+21,7.39e+20,7.39e+20,4.5e+21,4.5e+21,7.39e+20,7.39e+20,1,1,1,1,0,0,5.978000000000001e+21,1.0,0.16422222222222221,0.8,0x0011730224657eb527cf736039854c3a3f140e63,780.0
4,3,1,4.0,2.3675989569912272e+20,2608976.0,2608976.0,0.0,1.1837994784956136e+20,2608976.0,2608976.0,2,1,1,0,0,0,2.3675989569912796e+20,0.9999999999999962,1.1019501391044359e-14,0.6,0x00120ea6fdbaf057eadc1bd149f957488444e92c,773.9999999999997
2,1,3,0.6666666666666666,3e+18,0.0,0.0,0.0,1.5e+18,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x0012668072f7e0579caf7e047713d8b6d476d0db,609.0
231,5,63,3.6666666666666665,1.1486621116412448e+22,4.923462755854999e+21,9.33385959030951e+20,9.110069637323651e+18,1.1372892194467771e+20,2.051442814939583e+20,1.0036408161623128e+19,101,24,93,11,2,2,1.7343469831298398e+22,0.189579165176169,0.4286258514107512,1.0,0x00129c4ce6be31b273de64c65ff3fcdd4706a002,648.9579165176169
1,1,1,1.0,0.0,0.0,0.0,5000954281830769.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.2,0x0012a7f00af8a643ba5a6aa187f915b4c13289df,457.5
1,1,1,1.0,9.26e+16,0.0,0.0,0.0,9.26e+16,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,607.5
2,1,7,0.2857142857142857,2455392.0,0.0,0.0,0.0,1227696.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.2,0x00133f29e7d424f4e5773532b3fc35d020e9c54e,609.0
36,4,31,1.1612903225806452,1.6993360966012305e+20,18156827224.0,18162323503.0,1.6993578825247844e+20,1.6993360966012305e+19,3026137870.6666665,2018035944.7777777,10,6,9,11,0,0,1.699336096964422e+20,1.0003027114226617,1.0684659297424855e-10,0.8,0x0014dfac19477a83d7354e6eaac28642c1959398,878.0
30,3,133,0.22556390977443608,4.14069156227058e+21,9.433796318126906e+20,0.0,2.1721695253727386e+21,2.179311348563463e+20,4.716898159063453e+20,0.0,19,2,0,9,0,0,0.0,0.0,0.22783141840571702,0.6,0x001589fe1923c2118f34e4277f2ef650fcbf0161,713.0
